code,description,tratamiento,medicamentos
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
J00.0,Resfriado común,"Reposo, hidratación, evitar cambios bruscos de temperatura","Paracetamol 500 mg, antigripales"
J06.9.1,"Infección aguda de las vías respiratorias superiores, no especificada","Reposo, líquidos, monitoreo de síntomas","Ibuprofeno, loratadina"
K29.7.2,"Gastritis, no especificada","Dieta blanda, evitar irritantes, control del estrés","Omeprazol 20 mg, antiácidos"
E11.3,Diabetes mellitus tipo 2,"Dieta controlada, ejercicio regular, monitoreo glucémico",Metformina 850 mg
I10.4,Hipertensión esencial (primaria),"Reducción de sal, ejercicio, control de peso","Enalapril 10 mg, losartán 50 mg"
M54.5.5,Lumbalgia baja,"Reposo relativo, fisioterapia, corrección postural","Diclofenaco 50 mg, relajantes musculares"
R10.4.6,"Dolor abdominal, no especificado","Evaluación clínica, dieta ligera, observación","Butilhioscina, paracetamol"
F41.1.7,Trastorno de ansiedad generalizada,"Psicoterapia, técnicas de relajación, control del estrés","Fluoxetina 20 mg, clonazepam"
B34.9.8,"Infección viral, no especificada","Reposo, líquidos, control de fiebre","Paracetamol 500 mg, vitamina C"
A09.9,Gastroenteritis y colitis infecciosas de origen no especificado,"Hidratación oral, dieta suave, higiene","Sales de rehidratación oral, loperamida"
